Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPT OF HEALTH/MENTAL HYGIENE,"Program Analyst, Bureau of Immunization",CITY RESEARCH SCIENTIST,Health,F,62272,75349,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Program Analyst, Bureau of Immunization",CITY RESEARCH SCIENTIST,Health,F,62272,75349,Annual,42-09 28th Street
LAW DEPARTMENT,Data Analyst,STAFF ANALYST,"Legal Affairs Policy, Research & Analysis",F,58152,74479,Annual,"100 Church St., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,Director of Housing Contracts/Bureau of Mental Hygiene Administration,ADMINISTRATIVE CONTRACT SPECIA,Health,F,54643,110000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,Director of Housing Contracts/Bureau of Mental Hygiene Administration,ADMINISTRATIVE CONTRACT SPECIA,Health,F,54643,110000,Annual,42-09 28th Street
DEPT OF ENVIRONMENT PROTECTION,.Net Programmer / Analyst,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,64657,89634,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,.Net Programmer / Analyst,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,64657,89634,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Regional Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Regional Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,96-05 Horace Harding Expway
FIRE DEPARTMENT,Web Content Filtering Security Engineer,IT SECURITY SPECIALIST,"Technology, Data & Innovation",F,0,135000,Annual,11 Metrotech Center
FIRE DEPARTMENT,Web Content Filtering Security Engineer,IT SECURITY SPECIALIST,"Technology, Data & Innovation",F,0,135000,Annual,11 Metrotech Center
DEPARTMENT OF SANITATION,AUTO MECHANIC (DIESEL),AUTO MECHANIC (DIESEL),Building Operations & Maintenance,F,277.04,322.4,Daily,"52-35 58Th St., Woodside, Ny"
DEPARTMENT OF SANITATION,AUTO MECHANIC (DIESEL),AUTO MECHANIC (DIESEL),Building Operations & Maintenance,F,277.04,322.4,Daily,"52-35 58Th St., Woodside, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Disease Control Intern, Bureau of Communicable Diseases",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Disease Control Intern, Bureau of Communicable Diseases",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF DESIGN & CONSTRUCTION,College Aide - Administration,COLLEGE AIDE (ALL CITY DEPTS),Administration & Human Resources,P,13.5,17.9,Hourly,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,College Aide - Administration,COLLEGE AIDE (ALL CITY DEPTS),Administration & Human Resources,P,13.5,17.9,Hourly,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,"VMWare Infrastructure Manager, Bureau of Network Technology Services",IT INFRASTRUCTURE ENGINEER,Health,F,0,92700,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"VMWare Infrastructure Manager, Bureau of Network Technology Services",IT INFRASTRUCTURE ENGINEER,Health,F,0,92700,Annual,42-09 28th Street
DEPT OF CITYWIDE ADMIN SVCS,Equity & Inclusion Training Analyst,STAFF ANALYST TRAINEE,Administration & Human Resources,F,39237,45123,Annual,"1 Centre St., N.Y."
DEPT OF CITYWIDE ADMIN SVCS,Equity & Inclusion Training Analyst,STAFF ANALYST TRAINEE,Administration & Human Resources,F,39237,45123,Annual,"1 Centre St., N.Y."
LAW DEPARTMENT,PUBLIC RECORDS AIDE - DUPLICATION AND FINISHING SERVICES,PUBLIC RECORDS AIDE,Legal Affairs,F,33227,50876,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,PUBLIC RECORDS AIDE - DUPLICATION AND FINISHING SERVICES,PUBLIC RECORDS AIDE,Legal Affairs,F,33227,50876,Annual,"100 Church St., N.Y."
OFF OF PAYROLL ADMINISTRATION,Learning and Training Development Specialist,COMPUTER ASSOC (OPERATIONS),"Administration & Human Resources Technology, Data & Innovation Policy, Research & Analysis",F,71222,100000,Annual,5 Manhattan West
OFF OF PAYROLL ADMINISTRATION,Learning and Training Development Specialist,COMPUTER ASSOC (OPERATIONS),"Administration & Human Resources Technology, Data & Innovation Policy, Research & Analysis",F,71222,100000,Annual,5 Manhattan West
DEPT OF HEALTH/MENTAL HYGIENE,"Product Manager, Bureau of IT Strategy and Project Management",IT PROJECT SPECIALIST,"Health Technology, Data & Innovation",,0,105000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Product Manager, Bureau of IT Strategy and Project Management",IT PROJECT SPECIALIST,"Health Technology, Data & Innovation",,0,105000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Project Manager, Bureau of IT Strategy and Project Management",IT PROJECT SPECIALIST,"Technology, Data & Innovation",,0,91000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Project Manager, Bureau of IT Strategy and Project Management",IT PROJECT SPECIALIST,"Technology, Data & Innovation",,0,91000,Annual,42-09 28th Street
DEPT OF INFO TECH & TELECOMM,Business Analyst,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,82884,104364,Annual,2 Metro Tech
DEPT OF HEALTH/MENTAL HYGIENE,"Product Manager,  Bureau of IT Strategy and Project Management",IT SERVICE MANAGEMENT SPECIALI,"Technology, Data & Innovation",F,0,85000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Product Manager,  Bureau of IT Strategy and Project Management",IT SERVICE MANAGEMENT SPECIALI,"Technology, Data & Innovation",F,0,85000,Annual,42-09 28th Street
DEPARTMENT OF TRANSPORTATION,Revocable Consent Specialist,ASSISTANT CIVIL ENGINEER,Legal Affairs,F,55416,83151,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Revocable Consent Specialist,ASSISTANT CIVIL ENGINEER,Legal Affairs,F,55416,83151,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Revocable Consent Specialist,COMMUNITY COORDINATOR,Legal Affairs,F,52524,81535,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Revocable Consent Specialist,COMMUNITY COORDINATOR,Legal Affairs,F,52524,81535,Annual,55 Water St Ny Ny
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, LAUNCH SERVICES",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,63031,80000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, LAUNCH SERVICES",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,63031,80000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"PROJECT MANAGER, DLS",CONTRACT REVIEWER (OFFICE OF L,Constituent Services & Community Programs,F,46818,60000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"PROJECT MANAGER, DLS",CONTRACT REVIEWER (OFFICE OF L,Constituent Services & Community Programs,F,46818,60000,Annual,110 William St. N Y
DEPT OF HEALTH/MENTAL HYGIENE,"Data and Technology Analyst, Bureau of Emergency Field Operations",CITY RESEARCH SCIENTIST,"Health Technology, Data & Innovation Policy, Research & Analysis",F,73305,85000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Data and Technology Analyst, Bureau of Emergency Field Operations",CITY RESEARCH SCIENTIST,"Health Technology, Data & Innovation Policy, Research & Analysis",F,73305,85000,Annual,42-09 28th Street
DEPT OF DESIGN & CONSTRUCTION,Data Analyst GIS,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,64657,89634,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Data Analyst GIS,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,64657,89634,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,Human Resources Research & Recuitment Coordinator,COMMUNITY COORDINATOR,Administration & Human Resources,F,60403,67485,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Human Resources Research & Recuitment Coordinator,COMMUNITY COORDINATOR,Administration & Human Resources,F,60403,67485,Annual,421 East 26th Street NY NY
DEPARTMENT OF CORRECTION,Senior QA Tester,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",F,100000,120000,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,Senior QA Tester,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",F,100000,120000,Annual,75-20 Astoria Blvd
DEPT OF YOUTH & COMM DEV SRVS,Program Manager,CONTRACT SPECIALIST,Constituent Services & Community Programs,F,49643,60000,Annual,161 William St  New York N Y
DEPT OF YOUTH & COMM DEV SRVS,Program Manager,CONTRACT SPECIALIST,Constituent Services & Community Programs,F,49643,60000,Annual,161 William St  New York N Y
LAW DEPARTMENT,Clerical Associate- Appeals,CLERICAL ASSOCIATE,Legal Affairs,F,35330,40629,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Clerical Associate- Appeals,CLERICAL ASSOCIATE,Legal Affairs,F,35330,40629,Annual,"100 Church St., N.Y."
FINANCIAL INFO SVCS AGENCY,HELP DESK REPRESENTATIVE,CLERICAL ASSOCIATE,"Administration & Human Resources Communications & Intergovernmental Affairs Technology, Data & Innovation",F,31893,47515,Annual,5 Manhattan West
DEPT OF ENVIRONMENT PROTECTION,"Chief, Personnel Unit",ADMINISTRATIVE STAFF ANALYST (,Administration & Human Resources,,90000,110000,Annual,96-05 Horace Harding Expway
FIRE DEPARTMENT,Clerical Associate,CLERICAL ASSOCIATE,"Finance, Accounting, & Procurement",F,38851,60990,Annual,"9 Metrotech Center, Brooklyn N"
DEPT OF ENVIRONMENT PROTECTION,HRIS Data Analyst,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,65000,80000,Annual,59-17 Junction Blvd Corona Ny
DEPARTMENT OF BUSINESS SERV.,CERTIFICATION INTERN,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,CERTIFICATION INTERN,COLLEGE AIDE (ALL CITY DEPTS),Constituent Services & Community Programs,P,13.5,17.9,Hourly,110 William St. N Y
BOARD OF CORRECTION,Special Investigator Advisor,CITY RESEARCH SCIENTIST,"Administration & Human Resources Policy, Research & Analysis Social Services",,73305,92001,Annual,"1 Centre Street Ny, Ny"
BOARD OF CORRECTION,Special Investigator Advisor,CITY RESEARCH SCIENTIST,"Administration & Human Resources Policy, Research & Analysis Social Services",,73305,92001,Annual,"1 Centre Street Ny, Ny"
LAW DEPARTMENT,Clerical Associate (PT) - Various Locations,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"100 Church St., N.Y."
LAW DEPARTMENT,Clerical Associate (PT) - Various Locations,CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"100 Church St., N.Y."
DEPT OF INFO TECH & TELECOMM,Senior Network Architect,CERTIFIED IT ADMINISTRATOR (LA,"Technology, Data & Innovation",,89509,126447,Annual,2 Metro Tech
DEPT OF HEALTH/MENTAL HYGIENE,Maintenance Worker,MAINTENANCE WORKER,Building Operations & Maintenance,F,27.58,29,Hourly,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,Maintenance Worker,MAINTENANCE WORKER,Building Operations & Maintenance,F,27.58,29,Hourly,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Child Care",PUBLIC HEALTH SANITARIAN,Health,F,44390,51049,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Child Care",PUBLIC HEALTH SANITARIAN,Health,F,44390,51049,Annual,"125 Worth Street, Nyc"
DEPT OF DESIGN & CONSTRUCTION,Junior Planning and Reporting Analyst,ACCOUNTANT,"Finance, Accounting, & Procurement",F,48755,66247,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Junior Planning and Reporting Analyst,ACCOUNTANT,"Finance, Accounting, & Procurement",F,48755,66247,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Junior Capital Budget Analyst,ACCOUNTANT,"Finance, Accounting, & Procurement",F,48755,66247,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Junior Capital Budget Analyst,ACCOUNTANT,"Finance, Accounting, & Procurement",F,48755,66247,Annual,30-30 Thomson Ave L I City Qns
DEPT OF ENVIRONMENT PROTECTION,"Chief, Personnel Unit",ADM MANAGER-NON-MGRL FRM M1/M2,Administration & Human Resources,F,90000,110000,Annual,96-05 Horace Harding Expway
TAXI & LIMOUSINE COMMISSION,Deputy Director of Technical Operations,COMMUNITY COORDINATOR,"Public Safety, Inspections, & Enforcement",F,64000,75000,Annual,24-55 Bklyn Qns Expy Woodside
TAXI & LIMOUSINE COMMISSION,Deputy Director of Technical Operations,COMMUNITY COORDINATOR,"Public Safety, Inspections, & Enforcement",F,64000,75000,Annual,24-55 Bklyn Qns Expy Woodside
DEPT OF DESIGN & CONSTRUCTION,Civil Engineer Intern,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,49916,60447,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Civil Engineer Intern,CIVIL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,49916,60447,Annual,30-30 Thomson Ave L I City Qns
DEPARTMENT OF CITY PLANNING,IT Project Manager/Business Analyst,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,75000,85000,Annual,"120 Broadway, New York, NY"
DEPARTMENT OF CITY PLANNING,Consolidated Plan/ NYMTC Forecast Coordinator,COMMUNITY COORDINATOR,"Constituent Services & Community Programs Engineering, Architecture, & Planning",F,52524,60403,Annual,"120 Broadway, New York, NY"
DEPARTMENT OF CITY PLANNING,Consolidated Plan/ NYMTC Forecast Coordinator,COMMUNITY COORDINATOR,"Constituent Services & Community Programs Engineering, Architecture, & Planning",F,52524,60403,Annual,"120 Broadway, New York, NY"
DEPT OF DESIGN & CONSTRUCTION,Contract Manager,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,39304,66667,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Contract Manager,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,39304,66667,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Analyst,  Family and Child Health Administration",ECONOMIST,Health,F,54382,70200,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Budget Analyst,  Family and Child Health Administration",ECONOMIST,Health,F,54382,70200,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Epidemiologist, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,Health,,82008,102600,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Epidemiologist, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,Health,,82008,102600,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant, Bureau of Primary Care Access & Planning",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,62272,68499,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant, Bureau of Primary Care Access & Planning",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,62272,68499,Annual,42-09 28th Street
DEPT OF DESIGN & CONSTRUCTION,"Supervisor, Competitive Sealed Bids",PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,56981,95782,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,"Supervisor, Competitive Sealed Bids",PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,56981,95782,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Enviromental Assessment Coordinator,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,65783,95270,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Enviromental Assessment Coordinator,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,65783,95270,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Project Administrator,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,72476,106222,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Project Administrator,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,72476,106222,Annual,30-30 Thomson Ave L I City Qns
NYC HOUSING AUTHORITY,Deputy Director of Special Projects,DEPUTY DIRECTOR OF MANAGEMENT,"Technology, Data & Innovation Public Safety, Inspections, & Enforcement",F,90000,100000,Annual,Office Of The Chair
NYC HOUSING AUTHORITY,Deputy Director of Special Projects,DEPUTY DIRECTOR OF MANAGEMENT,"Technology, Data & Innovation Public Safety, Inspections, & Enforcement",F,90000,100000,Annual,Office Of The Chair
NYC HOUSING AUTHORITY,Associate/Analyst of Special Projects,COMMUNITY COORDINATOR,"Technology, Data & Innovation Policy, Research & Analysis",F,75000,80000,Annual,Office Of The Chair
NYC HOUSING AUTHORITY,Associate/Analyst of Special Projects,COMMUNITY COORDINATOR,"Technology, Data & Innovation Policy, Research & Analysis",F,75000,80000,Annual,Office Of The Chair
DEPT OF DESIGN & CONSTRUCTION,Assistant Landscape Architect,ASSISTANT LANDSCAPE ARCHITECT,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Assistant Landscape Architect,ASSISTANT LANDSCAPE ARCHITECT,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory/Microbiology",ASSOCIATE LABORATORY MICROBIOL,Health,F,59394,65455.56,Annual,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Associate Laboratory Microbiologist, Bureau of the Public Health Laboratory/Microbiology",ASSOCIATE LABORATORY MICROBIOL,Health,F,59394,65455.56,Annual,"455 First Ave., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Project Manager,CITY RESEARCH SCIENTIST,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,62272,75349,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Project Manager,CITY RESEARCH SCIENTIST,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,62272,75349,Annual,59-17 Junction Blvd Corona Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist, Bureau of Public Health Laboratory/Virology/Immunology",LABORATORY MICROBIOLOGIST,Health,F,52902,56690,Annual,"455 First Ave., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist, Bureau of Public Health Laboratory/Virology/Immunology",LABORATORY MICROBIOLOGIST,Health,F,52902,56690,Annual,"455 First Ave., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Procurement Specialist,PRINCIPAL ADMINISTRATIVE ASSOC,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,49390,71794,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Procurement Specialist,PRINCIPAL ADMINISTRATIVE ASSOC,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,49390,71794,Annual,96-05 Horace Harding Expway
FINANCIAL INFO SVCS AGENCY,LINUX SYSTEMS ADMINISTRATOR,IT INFRASTRUCTURE ENGINEER,"Technology, Data & Innovation",F,75000,130000,Annual,5 Manhattan West
FINANCIAL INFO SVCS AGENCY,LINUX SYSTEMS ADMINISTRATOR,IT INFRASTRUCTURE ENGINEER,"Technology, Data & Innovation",F,75000,130000,Annual,5 Manhattan West
DEPT. OF HOMELESS SERVICES,Family Worker,FRAUD INVESTIGATOR,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",F,49591,78134,Annual,151 East 151st Street
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, PROGRAM FINANCE & OPERATIONS",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,78574,100000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, PROGRAM FINANCE & OPERATIONS",ADMINISTRATIVE BUSINESS PROMOT,Constituent Services & Community Programs,F,78574,100000,Annual,110 William St. N Y
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide, Bureau of the Public Health Laboratory",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"College Aide, Bureau of the Public Health Laboratory",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Early Childhood Education Consultant, Bureau of Childcare",CONSULTANT (EARLY CHILDHOOD ED,Health,F,69300,82526.04,Annual,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Early Childhood Education Consultant, Bureau of Childcare",CONSULTANT (EARLY CHILDHOOD ED,Health,F,69300,82526.04,Annual,R E DEV FOR Preservation
HRA/DEPT OF SOCIAL SERVICES,QUALITY CONTROL CASE REVIEWER,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources Social Services,F,44142,64662,Annual,4 World Trade Center
CONSUMER AFFAIRS,Press Secretary,COMMUNITY COORDINATOR,Communications & Intergovernmental Affairs,F,52524,80000,Annual,"42 Broadway, N.Y."
CONSUMER AFFAIRS,Press Secretary,COMMUNITY COORDINATOR,Communications & Intergovernmental Affairs,F,52524,80000,Annual,"42 Broadway, N.Y."
DEPT OF CITYWIDE ADMIN SVCS,Senior Project Manager,ARCHITECT,"Engineering, Architecture, & Planning",F,90000,100000,Annual,"1 Centre St., N.Y."
DEPT OF CITYWIDE ADMIN SVCS,Senior Project Manager,ARCHITECT,"Engineering, Architecture, & Planning",F,90000,100000,Annual,"1 Centre St., N.Y."
DEPT OF DESIGN & CONSTRUCTION,"Supervisor, Professional Contracts",ADMINISTRATIVE PROCUREMENT ANA,"Finance, Accounting, & Procurement",F,61938,144145,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,"Supervisor, Professional Contracts",ADMINISTRATIVE PROCUREMENT ANA,"Finance, Accounting, & Procurement",F,61938,144145,Annual,30-30 Thomson Ave L I City Qns
TAXI & LIMOUSINE COMMISSION,Senior Supervising Attorney -  Consumer Complaint and Field Intake,AGENCY ATTORNEY,Legal Affairs,F,73938,109153,Annual,"31-00 47 Ave, 3 FL, LIC NY"
TAXI & LIMOUSINE COMMISSION,Senior Supervising Attorney -  Consumer Complaint and Field Intake,AGENCY ATTORNEY,Legal Affairs,F,73938,109153,Annual,"31-00 47 Ave, 3 FL, LIC NY"
DEPT OF INFO TECH & TELECOMM,Senior Threat Analyst,IT SECURITY SPECIALIST,"Technology, Data & Innovation",,75000,110000,Annual,255 Greenwich Street
DEPT OF INFO TECH & TELECOMM,Senior Threat Analyst,IT SECURITY SPECIALIST,"Technology, Data & Innovation",,75000,110000,Annual,255 Greenwich Street
DEPT OF INFO TECH & TELECOMM,Senior Developer,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,89509,115000,Annual,2 Metro Tech
DEPT OF ENVIRONMENT PROTECTION,Seasonal City Park Worker,CITY PARK WORKER,Building Operations & Maintenance,F,16.1418,25.0733,Hourly,"329 Greenpoint Ave., Brooklyn"
DEPT OF ENVIRONMENT PROTECTION,Seasonal City Park Worker,CITY PARK WORKER,Building Operations & Maintenance,F,16.1418,25.0733,Hourly,"329 Greenpoint Ave., Brooklyn"
DEPT OF HEALTH/MENTAL HYGIENE,"Neighborhood Health Promoter, Brooklyn Neighborhood Health Action Center/CHE",COMMUNITY ASSISTANT,Health,F,31573,40962,Annual,"259 Bristol St., Brooklyn"
DEPT OF HEALTH/MENTAL HYGIENE,"Neighborhood Health Promoter, Brooklyn Neighborhood Health Action Center/CHE",COMMUNITY ASSISTANT,Health,F,31573,40962,Annual,"259 Bristol St., Brooklyn"
FIRE DEPARTMENT,WorkersÌ¢‰âÂ‰ã¢ Compensation Benefits Examiner,WORKER'S COMPENSATION BENEFITS,Health,F,40183,46211,Annual,"9 Metrotech Center, Brooklyn N"
FIRE DEPARTMENT,WorkersÌ¢‰âÂ‰ã¢ Compensation Benefits Examiner,WORKER'S COMPENSATION BENEFITS,Health,F,40183,46211,Annual,"9 Metrotech Center, Brooklyn N"
DEPT OF HEALTH/MENTAL HYGIENE,"Financial Analyst, Mental Hygiene - Administration",ACCOUNTANT,"Finance, Accounting, & Procurement",,54382,84376,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Financial Analyst, Mental Hygiene - Administration",ACCOUNTANT,"Finance, Accounting, & Procurement",,54382,84376,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/ SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,81798,81798,Annual,160 West 100Th Street Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/ SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,81798,81798,Annual,160 West 100Th Street Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,76737,76737,Annual,"1 Fordham Plaza, Bronx"
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,76737,76737,Annual,"1 Fordham Plaza, Bronx"
DEPT OF ENVIRONMENT PROTECTION,COMPUTER SPECIALIST (OPERATIONS),COMPUTER SPECIALIST (OPERATION,"Technology, Data & Innovation",F,74395,116126,Annual,"356 Flushing Ave, Brooklyn"
HOUSING PRESERVATION & DVLPMNT,Product Owner/Project Manager,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,100000,110000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,Product Owner/Project Manager,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,100000,110000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,80000,90000,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,Senior Business Analyst,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,80000,90000,Annual,100 Gold Street
